"question_text","role","program","participant_id","question_id","question_language","age","gender","gender[other]","educationlevel","educationstatus","familiar","interviewtime","demographics_time","question_time","email_time"
"Wie ist die Anbindung zu den Öffentlichenverkehrsmitteln? ","prospective","","72","185","de","A1","A2","","A4","A2","A4","743.18","413.85","310.76","18.57"
"Welche Events gibt es in der nächsten Zeit?","enrolled","Rechtswissenschaften","77","186","de","A2","A2","","A4","A4","A2","565.25","84.76","461.16","19.33"
"Where can I find additional resources for my courses?","international","Cognitive Science","83","187","en","A2","A2","","A4","A5","A4","483.54","71.2","349.62","62.72"
"Kann man Vorlesungen der Universität Osnabrück einfach besuchen? ","prospective","","85","188","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52"
"Wie kann man sich für einen Studiengang bewerben","prospective","","86","189","de","A1","A2","","A4","A2","A3","460.74","57.33","389.96","13.45"
"Wie teuer ist das Studium an der Uni Osnabrück, und gibt es irgendwelche Gebühren?","prospective","","88","190","de","A1","A2","","A2","A2","A2","414.7","135.11","264.4","15.19"
"Ist die Universität auf etwas spezialisiert?



","other","","93","192","de","A1","A2","","A2","A1","A2","641.42","187.82","435.48","18.12"
"Braucht man einen NC für den Studiengang Germanistik auf Lehramt ","prospective","","99","194","de","A2","A2","","A2","A2","A3","1202.31","154.2","1036.36","11.75"
"Wie hoch ist der Semesterbeitrag in diesem Semester?","enrolled","Biologie","102","195","de","A2","A2","","A4","A4","A2","506.07","60.73","432.18","13.16"
"What are the semester dates?","international","Cognitive science","103","196","en","A3","A2","","A5","A5","A2","237.7","31.74","200.95","5.01"
"Wo kann mna sihc bei der Uni anmelden?","other","","109","197","de","A1","A2","","A2","A1","A3","278.85","83.17","187.82","7.86"
"Was für einen Abschluss brauche ich für einen bestimmten Studiengang","prospective","","112","198","de","A1","A1","","A2","A2","A1","374.51","103.69","254.58","16.24"
"Wie viele Vorlesungen finden pro Woche statt","other","","114","199","de","A1","A2","","A2","A1","A3","269.69","53.81","192.19","23.69"
"Was kann man beruflich mit diesem Abschluss machen?","enrolled","Soziologie","115","200","de","A3","A2","","A5","A4","A4","231.12","45.58","178.93","6.61"
"an welchen tagen ist der Unterricht?","other","","117","201","de","A1","A1","","A2","A1","A3","172.49","56.36","110.6","5.53"
"Welche Bedingungen muss ich erfuellen um mich fuer einen bestimmten Studiengang zu bewerben?","enrolled","Cognitive Science","118","202","de","A2","A2","","A4","A4","A2","493.27","35.0","423.33","34.94"
"Wie teuer ist ein Studium?","prospective","","119","203","de","A1","A1","","A2","A2","A3","180.71","41.57","133.58","5.56"
"What housing options are provided for students, and how can I apply for oncampus accommodation?","international","Cognitive science","120","204","en","A2","A1","","A4","A5","A3","278.49","64.85","181.97","31.67"
"Where do cognitive science alumnis from Osnabrück University end up working?","enrolled","Cognitive Science","17","206","en","A2","A2","","A4","A4","A2","415.44","38.97","356.76","19.71"
"Aud welchem System läuft dieser Chatbot?","enrolled","Bachelor of Science Cognitive Science","18","207","de","A2","A1","","A4","A4","A2","539.12","66.19","456.09","16.84"
"Was gibt es Neues?","enrolled","Cognitive Science","19","208","de","A3","A2","","A5","A4","A1","419.18","34.73","379.1","5.35"
"Welche Masterstudiengänge in Osnabrück kann ich mit einem Bachelor in Cognitive Science studieren?","enrolled","Cognitive Science","20","209","de","A2","A2","","A4","A4","A2","443.46","49.35","347.8","46.31"
"Wann sind die Bewerbungsfristen für das Sommersemester 2025?","enrolled","Cognitive Science","21","210","de","A2","A2","","A5","A4","A3","848.8","55.92","751.32","41.56"
"Gibt es gerade Stellenausschreiben an der Uni?","enrolled","Cognitive Science","22","211","de","A3","A1","","A3","A4","A1","395.81","36.07","347.91","11.83"
"Wo ist das Gebäude 69?","enrolled","Cognitive Science","23","212","de","A2","A2","","A4","A4","A2","496.45","76.49","396.08","23.88"
"Bietet die Uni Osnabrück Musik und Sportclubs an?","international","Bachelor of Science, Cognitive Science","24","213","de","A2","A2","","A4","A5","A1","531.26","48.45","447.18","35.63"
"Welche Beruf-Optionen kann man mit einem abgeschlossenen Bachelor in Cognitive Science erwarten? ","enrolled","Bachelor of Science, Cognitive Science","26","214","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08"
"Gibt es gerade offene Arbeitsplaetze an der Uni die mit programmieren und oder AI zu tun haben, fuer die ich mich bewerben koennte?","enrolled","Cognitive Science","27","215","de","A2","A1","","A4","A4","A1","438.64","64.2","357.17","17.27"
"Wie kann ich mich für eine Hilfskraftstelle an der Uni Bewerben? ","enrolled","Cognitive Science","28","216","de","A3","A1","","A2","A4","A2","770.65","396.13","364.82","9.7"
"I faced an issue that I cannot attend a midterm exam as I am not in Osnabrück. Who can I contact for that matter? I am hoping there will be a retake, but I’m not sure where to check.","enrolled","Cognitive Science","29","217","en","A2","A2","","A4","A4","A1","886.18","99.94","636.79","149.45"
"Wie komme ich am besten mit dem ÖPNV zur Uni hin?","enrolled","Cognitive Science B.Sc.","31","218","de","A2","A2","","A4","A4","A3","485.73","47.36","423.78","14.59"
"Wann sind die Vorlesungszeiten bzw. wann sind Semesterferien?","enrolled","Cognitive Science","35","219","de","A2","A1","","A4","A4","A2","972.32","141.77","803.98","26.57"
"Was brauche ich für einen NC um Psychologie studieren zu können?","enrolled","Psychologie","36","220","de","A2","A2","","A5","A4","A2","1634.31","27.81","1526.32","80.18"
"Welche Bibliotheksdienste stehen Studierenden zur Verfügung, und wie kann ich ein Buch ausleihen oder einen Arbeitsplatz reservieren?","other",".","37","221","de","A8","A3","","A10","A8","A6","651.14","419.28","194.43","37.43"
"Wo kann ich die Semesterzeitpläne einsehen? Vorlesungsbeginn etc.","enrolled","Lehramt für berufsbildende Schulen","39","222","de","A3","A1","","A5","A4","A2","310.06","54.0","244.02","12.04"
"Gibt es demnächst Veranstaltungen von der Uni?","enrolled","","42","223","de","A2","A2","","A4","A4","A5","392.59","42.69","339.2","10.7"
"Welche Bachelor-Studiengänge bietet die Uni Osnabrück an?","enrolled","Wirtschaftsrecht","43","224","de","A2","A2","","A4","A4","A3","343.07","45.47","292.08","5.52"
"Wer kann mir bei Problemen außerhalb der Hochschule helfen (Rechtshilfe/Psychologischer Dienst)?","enrolled","Wirtschaftsrecht","46","225","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45"
"Wie unterstützt die Universität Studierende, die von außerhalb Osnabrücks reinpendeln müssen?","enrolled","","47","226","de","A3","-oth-","Nichtbinär","A5","A4","A3","392.53","39.66","344.84","8.03"
"Wann kann ich mich für das Frühstarter-Sportprogramm anmelden? ","other","","49","227","de","A3","A2","","A6","A7","A2","531.24","61.25","464.91","5.08"
"Is there any event happening this week?","enrolled","Cognitive Science","50","228","en","A3","A2","","A4","A4","A2","236.81","29.64","192.72","14.45"
"Warum sollte ich an der Universität Osnabrück studieren?","enrolled","Master Lehramt an Gymnasien","51","229","de","A3","A2","","A5","A4","A3","440.72","70.19","358.17","12.36"
"What are the job opportunities after finishing my program?","enrolled","Cognitive Science","52","230","en","A3","A2","","A5","A4","A1","411.74","52.45","296.34","62.95"
"Are there part-time job opportunities on campus for international students?","international","Cognitive Science","53","231","en","A3","A2","","A6","A5","A1","534.43","81.53","387.84","65.06"
"Welche Bachelor Abschlüsse qualifizieren mich für einen Master in Cognitive Science?","enrolled","Cognitive Science","54","232","de","A2","A2","","A4","A4","A2","420.47","58.39","343.54","18.54"
"Wo kann ich die Modulordnung für den Cognitive Science Bachelor finden?","enrolled","Cognitive Science, B.Sc.","57","234","de","A2","A2","","A4","A4","A1","354.19","40.38","241.74","72.07"
"Wie viele unterschiedliche Studiengänge werden hier unterrichtet? ","prospective","","72","236","de","A1","A2","","A4","A2","A4","743.18","413.85","310.76","18.57"
"Wann sind Semesterferien?","enrolled","Rechtswissenschaften","77","237","de","A2","A2","","A4","A4","A2","565.25","84.76","461.16","19.33"
"How can I sign up for sports?","international","Cognitive Science","83","238","en","A2","A2","","A4","A5","A4","483.54","71.2","349.62","62.72"
"Kann man während des Studiums in einem Forschungsinstitut arbeiten? ","prospective","","85","239","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52"
"Was sind die Inhalte dieses Studiengangs","prospective","","86","240","de","A1","A2","","A4","A2","A3","460.74","57.33","389.96","13.45"
"Kann man dort auch ein Auslandssemester machen, und wie funktioniert das?","prospective","","88","241","de","A1","A2","","A2","A2","A2","414.7","135.11","264.4","15.19"
"Wo ist die nächste Toilette?","other","","92","242","de","A1","A2","","A2","A1","A2","303.55","63.41","232.83","7.31"
"Wofür ist die Universität bekannt?","other","","93","243","de","A1","A2","","A2","A1","A2","641.42","187.82","435.48","18.12"
"Wie weit ist die Uni von der Innenstadt entfernt?","prospective","","99","245","de","A2","A2","","A2","A2","A3","1202.31","154.2","1036.36","11.75"
"Für wie viele Studiengänge kann ich gleichzeitig Bewerbungsunterlagen einreichen?","enrolled","Biologie","102","246","de","A2","A2","","A4","A4","A2","506.07","60.73","432.18","13.16"
"How much are the University fees?","international","Cognitive science","103","247","en","A3","A2","","A5","A5","A2","237.7","31.74","200.95","5.01"
"wie viele Leute besuchen die Uni?","other","","109","248","de","A1","A2","","A2","A1","A3","278.85","83.17","187.82","7.86"
"Wie viel verdiene ich später voraussichtlich ","prospective","","112","249","de","A1","A1","","A2","A2","A1","374.51","103.69","254.58","16.24"
"Gibt es einen Raumplan?","other","","114","250","de","A1","A2","","A2","A1","A3","269.69","53.81","192.19","23.69"
"Gibt es an dieser Uni Möglichkeiten, ein weiterführendes Studium anzuschließen?","enrolled","Soziologie","115","251","de","A3","A2","","A5","A4","A4","231.12","45.58","178.93","6.61"
"welche Abschlüsse kann man im Studium anstreben? Bachelor Master usw,","other","","117","252","de","A1","A1","","A2","A1","A3","172.49","56.36","110.6","5.53"
"Wie viele Studierende gibt es an der Uni?","enrolled","Cognitive Science","118","253","de","A2","A2","","A4","A4","A2","493.27","35.0","423.33","34.94"
"Welche Vorkenntnisse brauch ich für ein Studium?","prospective","","119","254","de","A1","A1","","A2","A2","A3","180.71","41.57","133.58","5.56"
"Are there any student organizations activities I can join to enhance my university experience?

","international","Cognitive science","120","255","en","A2","A1","","A4","A5","A3","278.49","64.85","181.97","31.67"
"What are some research labs that I can join as a cognitive science student in Osnabrück University?","enrolled","Cognitive Science","17","257","en","A2","A2","","A4","A4","A2","415.44","38.97","356.76","19.71"
"Wo finde ich Services für Studis? z.b. Wohnungssuche","enrolled","Bachelor of Science Cognitive Science","18","258","de","A2","A1","","A4","A4","A2","539.12","66.19","456.09","16.84"
"Wo kann ich das Gebäude 66 finden?","enrolled","Cognitive Science","20","260","de","A2","A2","","A4","A4","A2","443.46","49.35","347.8","46.31"
"Welche Sprachnachweise werden bei meiner Bewerbung anerkannt?","enrolled","Cognitive Science","21","261","de","A2","A2","","A5","A4","A3","848.8","55.92","751.32","41.56"
"Was ist das Lernzentrum","enrolled","Cognitive Science","22","262","de","A3","A1","","A3","A4","A1","395.81","36.07","347.91","11.83"
"Welche Vorraussetzungen muss ich für ein Studium in Sportwissenschaften erfüllen?","enrolled","Cognitive Science","23","263","de","A2","A2","","A4","A4","A2","496.45","76.49","396.08","23.88"
"Welche Kurse oder Veranstaltungen finden in dem Schlussgebäude am Innenstadt Campus statt?","international","Bachelor of Science, Cognitive Science","24","264","de","A2","A2","","A4","A5","A1","531.26","48.45","447.18","35.63"
"Kann man mit einem abgeschlossenen Bachelor in Cognitive Science bereits anfangen sinnvoll zu arbeiten (d.h. in einem Sektor bzw. Unternehmen welches sich solch einen Abschluss wünscht und wo man das Wissen aus diesem tatsächlich anwenden kann), oder muss man erst einen Master machen in dem man sich auf irgendeinen Bereich spezialisiert? ","enrolled","Bachelor of Science, Cognitive Science","26","265","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08"
"Woher bekomme ich ein Englisch Sprachzertifikat fuer mein Auslandssemster?","enrolled","Cognitive Science","27","266","de","A2","A1","","A4","A4","A1","438.64","64.2","357.17","17.27"
"Ist ein Auslandssemester erforderlich für internationale Studenten im Bachelor Studiengang Cognitive science? ","enrolled","Cognitive Science","28","267","de","A3","A1","","A2","A4","A2","770.65","396.13","364.82","9.7"
"How do I best ask for a letter of recommendation? Is there a template from the university as to what is expected to be written in it? ","enrolled","Cognitive Science","29","268","en","A2","A2","","A4","A4","A1","886.18","99.94","636.79","149.45"
"Wie viele Stunden in der Woche werde ich ungefähr mit diesem Studiengang beschäftigt sein?","enrolled","Cognitive Science B.Sc.","31","269","de","A2","A2","","A4","A4","A3","485.73","47.36","423.78","14.59"
"Was gibt es für Initiativen/Aktivitäten für Studierende?","enrolled","Cognitive Science","35","270","de","A2","A1","","A4","A4","A2","972.32","141.77","803.98","26.57"
"Wie viele Studierende gibt es in OS?","enrolled","Psychologie","36","271","de","A2","A2","","A5","A4","A2","1634.31","27.81","1526.32","80.18"
"Wann finden die Orientierungswochen für Erstsemester statt, und wie melde ich mich dafür an?","other",".","37","272","de","A8","A3","","A10","A8","A6","651.14","419.28","194.43","37.43"
"Wie lauten die Bewerbungsfristen für meine Studienfach?","enrolled","Lehramt für berufsbildende Schulen","39","273","de","A3","A1","","A5","A4","A2","310.06","54.0","244.02","12.04"
"Wo finde ich Informationen zur Einführungswoche?","enrolled","","42","274","de","A2","A2","","A4","A4","A5","392.59","42.69","339.2","10.7"
"Welche Master-Studiengänge bietet die Uni Osnabrück an?","enrolled","Wirtschaftsrecht","43","275","de","A2","A2","","A4","A4","A3","343.07","45.47","292.08","5.52"
"Wie kann ich mich engagieren und tatsächlich etwas bewirken?","enrolled","Wirtschaftsrecht","46","276","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45"
"Warum sind die Anbindungen an den Campus Westerberg so schlecht?","enrolled","","47","277","de","A3","-oth-","Nichtbinär","A5","A4","A3","392.53","39.66","344.84","8.03"
"Welche Veranstaltungen für Promovierende gibt es?","other","","49","278","de","A3","A2","","A6","A7","A2","531.24","61.25","464.91","5.08"
"Who is the president of the uni?","enrolled","Cognitive Science","50","279","en","A3","A2","","A4","A4","A2","236.81","29.64","192.72","14.45"
"An wen wende ich mich mit einer coolen Idee aus meinem Kunststudium, das für alle Erstsemester interessant sein könnte?","enrolled","Master Lehramt an Gymnasien","51","280","de","A3","A2","","A5","A4","A3","440.72","70.19","358.17","12.36"
"How can I renew my VISA?","enrolled","Cognitive Science","52","281","en","A3","A2","","A5","A4","A1","411.74","52.45","296.34","62.95"
"How can I connect with alumni from my program or other international students at the university?","international","Cognitive Science","53","282","en","A3","A2","","A6","A5","A1","534.43","81.53","387.84","65.06"
"Wann sind die Semester Ferien?","enrolled","Cognitive Science","54","283","de","A2","A2","","A4","A4","A2","420.47","58.39","343.54","18.54"
"Wann ist das Examination Office geöffnet?","enrolled","Cognitive Science","56","284","de","A3","A1","","A4","A4","A2","1054.06","45.21","962.92","45.93"
"Wo finde ich Informationen zur mündlichen Prüfung im Bachelor Cognitive Science?","enrolled","Cognitive Science, B.Sc.","57","285","de","A2","A2","","A4","A4","A1","354.19","40.38","241.74","72.07"
"Wie wurde die Uni von ehemaligen Studenten bewertet? ","prospective","","72","287","de","A1","A2","","A4","A2","A4","743.18","413.85","310.76","18.57"
"Was kannst du mir zu dem Studiengang (bsp: Jura) erzählen?","enrolled","Rechtswissenschaften","77","288","de","A2","A2","","A4","A4","A2","565.25","84.76","461.16","19.33"
"How can I meet other international students?","international","Cognitive Science","83","289","en","A2","A2","","A4","A5","A4","483.54","71.2","349.62","62.72"
"Welche Events, abgesehen vom Campus Festival, gibt es von der Universität aus? ","prospective","","85","290","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52"
"Wie hoch ist die Studiengebühr für diesen Studiengang/ diese Univerität","prospective","","86","291","de","A1","A2","","A4","A2","A3","460.74","57.33","389.96","13.45"
"Wo wohnen die meisten Studenten, und wie findet man ein Zimmer in Osnabrück?","prospective","","88","292","de","A1","A2","","A2","A2","A2","414.7","135.11","264.4","15.19"
"Worauf muss ich besonders bei Hausarbeiten achten?","other","","92","293","de","A1","A2","","A2","A1","A2","303.55","63.41","232.83","7.31"
"Wie ist die Geschichte der Uni?","other","","93","294","de","A1","A2","","A2","A1","A2","641.42","187.82","435.48","18.12"
"Gibt es Studentenwohnheime?","prospective","","99","296","de","A2","A2","","A2","A2","A3","1202.31","154.2","1036.36","11.75"
"Kann ich länger als Regelstudienzeit studieren?","enrolled","Biologie","102","297","de","A2","A2","","A4","A4","A2","506.07","60.73","432.18","13.16"
"Are there student accomodations available?","international","Cognitive science","103","298","en","A3","A2","","A5","A5","A2","237.7","31.74","200.95","5.01"
"Wie viele Lerher gibt es an der Uni?","other","","109","299","de","A1","A2","","A2","A1","A3","278.85","83.17","187.82","7.86"
"Welche Berufe kann man mi dem Abschluss machen","prospective","","112","300","de","A1","A1","","A2","A2","A1","374.51","103.69","254.58","16.24"
"Wie kann ich mich bewerben?","other","","114","301","de","A1","A2","","A2","A1","A3","269.69","53.81","192.19","23.69"
"Welche Wahlpflichtkurse gibt es?","enrolled","Soziologie","115","302","de","A3","A2","","A5","A4","A4","231.12","45.58","178.93","6.61"
"Welche Moeglichkeiten einer Studienfinanzierung gibt es","enrolled","Cognitive Science","118","304","de","A2","A2","","A4","A4","A2","493.27","35.0","423.33","34.94"
"Was sind die schwierigsten Studienfächer?","prospective","","119","305","de","A1","A1","","A2","A2","A3","180.71","41.57","133.58","5.56"
"What are the career services available for students, such as internships, job fairs, or counseling?","international","Cognitive science","120","306","en","A2","A1","","A4","A5","A3","278.49","64.85","181.97","31.67"
"Worauf muss ich achten, wenn ich ein Auslandssemester antrete?","enrolled","Cognitive Science","16","307","de","A2","A1","","A4","A4","A1","296.44","41.96","235.25","19.23"
"Do I have to complete an internship before or during my studies as a cognitive science student at Osnabrück University?","enrolled","Cognitive Science","17","308","en","A2","A2","","A4","A4","A2","415.44","38.97","356.76","19.71"
"Ich will meine BA schreiben, was sind formale Voraussetzungen?","enrolled","Bachelor of Science Cognitive Science","18","309","de","A2","A1","","A4","A4","A2","539.12","66.19","456.09","16.84"
"Was für Veranstaltungen stehen an?","enrolled","Cognitive Science","19","310","de","A3","A2","","A5","A4","A1","419.18","34.73","379.1","5.35"
"Welche Module aus Psychologie und Cognitive Science überschneiden sich und was ist Psychologie spezifisch?","enrolled","Cognitive Science","20","311","de","A2","A2","","A4","A4","A2","443.46","49.35","347.8","46.31"
"Wie lautet die aktuelle Prüfungsordnung für Cognitive Science Studierende im Bachelor?","enrolled","Cognitive Science","21","312","de","A2","A2","","A5","A4","A3","848.8","55.92","751.32","41.56"
"wo finde ich meine Imatrikulationsunterlagen","enrolled","Cognitive Science","22","313","de","A3","A1","","A3","A4","A1","395.81","36.07","347.91","11.83"
"An wen wende ich mich bei Fragen zu meiner Studienlaufbahn?","enrolled","Cognitive Science","23","314","de","A2","A2","","A4","A4","A2","496.45","76.49","396.08","23.88"
"Wie kann ich meine lernen Optimierten. ","international","Bachelor of Science, Cognitive Science","24","315","de","A2","A2","","A4","A5","A1","531.26","48.45","447.18","35.63"
"Wie wertvoll ist der Bachelor in Cognitive Science für Unternehmen, vor allem im Vergleich zu jemandem der in einem ähnlichen, weiter verbreiteten Studiengang wie z.B. Informatik seinen Bachelor abgeschlossen hat? ","enrolled","Bachelor of Science, Cognitive Science","26","316","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08"
"Was sind die durschnitts Abschluss noten fuer verschiedene Studienganege und im allgmeinen?","enrolled","Cognitive Science","27","317","de","A2","A1","","A4","A4","A1","438.64","64.2","357.17","17.27"
"Was sind die Voraussetzungen um eine Bachelor-Arbeit beim Prüfungsamt anzumelden? ","enrolled","Cognitive Science","28","318","de","A3","A1","","A2","A4","A2","770.65","396.13","364.82","9.7"
"Where can I find student jobs on the website? Is there a chance to work in the IT field to gain some insightful experience? Is it smart to address lecturers directly for opportunities? ","enrolled","Cognitive Science","29","319","en","A2","A2","","A4","A4","A1","886.18","99.94","636.79","149.45"
"Was brauche ich alles, um mich für diesen Studiengang zu bewerben, bzw. wie läuft der gesamte Prozess genau ab?","enrolled","Cognitive Science B.Sc.","31","320","de","A2","A2","","A4","A4","A3","485.73","47.36","423.78","14.59"
"Ist der Frosch heute geöffnet?","enrolled","Cognitive Science","35","321","de","A2","A1","","A4","A4","A2","972.32","141.77","803.98","26.57"
"Was sind die Anforderungen für einen Klinischen Master in OS?","enrolled","Psychologie","36","322","de","A2","A2","","A5","A4","A2","1634.31","27.81","1526.32","80.18"
"Wie kann ich mich für Sprachkurse am Sprachenzentrum anmelden, und welche Sprachen werden angeboten?","other",".","37","323","de","A8","A3","","A10","A8","A6","651.14","419.28","194.43","37.43"
"Wie laufen die Bewerbungen ab? Wo finde ich diese Informationen?","enrolled","Lehramt für berufsbildende Schulen","39","324","de","A3","A1","","A5","A4","A2","310.06","54.0","244.02","12.04"
"Wann sind Semesterferien?","enrolled","","42","325","de","A2","A2","","A4","A4","A5","392.59","42.69","339.2","10.7"
"Wo kann ich mich für die Sprachkurse anmelden?","enrolled","Wirtschaftsrecht","43","326","de","A2","A2","","A4","A4","A3","343.07","45.47","292.08","5.52"
"Wie finde ich den passenden Studiengang für mich?","enrolled","Wirtschaftsrecht","46","327","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45"
"Wie wurden die Antwortdaten für diesen Chatbot generiert? (Kontext: Andere ""KI-Bots"" holen ihre Datensätze auf Basis von Ausbeutung anderer Menschen)","enrolled","","47","328","de","A3","-oth-","Nichtbinär","A5","A4","A3","392.53","39.66","344.84","8.03"
"Wen kann ich kontaktieren, um einen tropfenden Wasserhahn zu melden? ","other","","49","329","de","A3","A2","","A6","A7","A2","531.24","61.25","464.91","5.08"
"When is building 50 closed?","enrolled","Cognitive Science","50","330","en","A3","A2","","A4","A4","A2","236.81","29.64","192.72","14.45"
"Was mache ich, wenn zum Ende meines Studiums Exkursionen fehlen, weil es keine freien Plätze gab?","enrolled","Master Lehramt an Gymnasien","51","331","de","A3","A2","","A5","A4","A3","440.72","70.19","358.17","12.36"
"How can I apply for a Phd?","enrolled","Cognitive Science","52","332","en","A3","A2","","A5","A4","A1","411.74","52.45","296.34","62.95"
"What resources are available to help students with disabilities at Osnabrück University?","international","Cognitive Science","53","333","en","A3","A2","","A6","A5","A1","534.43","81.53","387.84","65.06"
"Wo kann ich mich für Klausuren anmelden?","enrolled","Cognitive Science","54","334","de","A2","A2","","A4","A4","A2","420.47","58.39","343.54","18.54"
"Wo erfahre ich etwas über Nachteilsausgleiche?","enrolled","Cognitive Science, B.Sc.","57","336","de","A2","A2","","A4","A4","A1","354.19","40.38","241.74","72.07"
"Gibt es eine Bibliothek?","prospective","","72","338","de","A1","A2","","A4","A2","A4","743.18","413.85","310.76","18.57"
"Wie sind die Öffnungszeiten der Bibliotheken?","enrolled","Rechtswissenschaften","77","339","de","A2","A2","","A4","A4","A2","565.25","84.76","461.16","19.33"
"How can I start looking into exchange programs?","international","Cognitive Science","83","340","en","A2","A2","","A4","A5","A4","483.54","71.2","349.62","62.72"
"Wann und wie läuft das Anmeldeverfahren ab? ","prospective","","85","341","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52"
"Was sind Vor- und Nachteile dieser Uni","prospective","","86","342","de","A1","A2","","A4","A2","A3","460.74","57.33","389.96","13.45"
"Was macht das Studentenleben in Osnabrück besonders?","prospective","","88","343","de","A1","A2","","A2","A2","A2","414.7","135.11","264.4","15.19"
"Wann sind die nächsten Semester Ferien?","other","","92","344","de","A1","A2","","A2","A1","A2","303.55","63.41","232.83","7.31"
"Wie sieht die Universität aus?","other","","93","345","de","A1","A2","","A2","A1","A2","641.42","187.82","435.48","18.12"
"Wie sind die Vorlesungen aufgebaut?","prospective","","99","347","de","A2","A2","","A2","A2","A3","1202.31","154.2","1036.36","11.75"
"Kann ich nach dem Studiumanfang den Studiengang wechseln?","enrolled","Biologie","102","348","de","A2","A2","","A4","A4","A2","506.07","60.73","432.18","13.16"
"Are there any scholarships?","international","Cognitive science","103","349","en","A3","A2","","A5","A5","A2","237.7","31.74","200.95","5.01"
"Bietet die Uni spezielle Aktivitäten an?","other","","109","350","de","A1","A2","","A2","A1","A3","278.85","83.17","187.82","7.86"
"Wann macht ein Master Sinn ","prospective","","112","351","de","A1","A1","","A2","A2","A1","374.51","103.69","254.58","16.24"
"An wen kann ich mich wenden?","other","","114","352","de","A1","A2","","A2","A1","A3","269.69","53.81","192.19","23.69"
"Gibt es ähnliche Studiengänge an anderen Universitäten?","enrolled","Soziologie","115","353","de","A3","A2","","A5","A4","A4","231.12","45.58","178.93","6.61"
"Kann ich ein Auslandssemester machen?","enrolled","Cognitive Science","118","355","de","A2","A2","","A4","A4","A2","493.27","35.0","423.33","34.94"
"Welche Jobs kann man mit welchen Studienfächern aufnehmen?","prospective","","119","356","de","A1","A1","","A2","A2","A3","180.71","41.57","133.58","5.56"
"what can you do to help me? what's your capability?","international","Cognitive science","120","357","en","A2","A1","","A4","A5","A3","278.49","64.85","181.97","31.67"
"Wenn alles was Unternehmen über mich wissen ist, dass ich einen Bachelor in Cognitive Science habe, welche Unternehmen wären daran interessiert mich einzustellen?","enrolled","Bachelor of Science, Cognitive Science","26","359","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08"
"I have an idea how to improve the lecture recordings. Who can I talk to to discuss my ideas? ","enrolled","Cognitive Science","29","360","en","A2","A2","","A4","A4","A1","886.18","99.94","636.79","149.45"
"Wie genau funktioniert das mit den Langzeitstudiengebühren?","enrolled","Wirtschaftsrecht","46","361","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45"
"Wann wird der NC für Psychologie veröffentlicht? Gibt es einen bestimmten Wert mit dem man rechnen kann? ","prospective","","85","362","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52"
"Ich habe meine Campuskarte verloren. wie kriege ich eine neue?","enrolled","Cognitive Science","22","364","de","A3","A1","","A3","A4","A1","395.81","36.07","347.91","11.83"
"Welches Wissen aus dem Bereich Cognitive Science ist für verschiedene Unternehmen am relevantesten? ","enrolled","Bachelor of Science, Cognitive Science","26","365","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08"
"Wen kann ich bei konkreten Fragen zum Studienalltag kontaktieren, wenn ich gern mit einem Menschen sprechen möchte?","enrolled","Wirtschaftsrecht","46","366","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45"
"Gibt es Besonderheiten für Psychologie in Osnabrück und in welche Richtungen kann ich mich später spezialisieren? ","prospective","","85","367","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52"
"Wo kann ich sehen ab wann ich mich für Psychologie einschreiben kann? ","prospective","","85","370","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52"
