"german_question_text_q","english_question_text_q","role_q","program_q","participant_id_q","question_id_q","question_language_q","age_q","gender_q","gender[other]_q","educationlevel_q","educationstatus_q","familiar_q","interviewtime_q","demographics_time_q","question_time_q","email_time_q","translation_done_q"
"Was sind die Anforderungen?","What are the requirements?","international","Cognitive science","103","145","en","A3","A2","","A5","A5","A2","237.7","31.74","200.95","5.01","True"
"Wie unterscheidet sich die Univon anderen?","How does the university differ from others?","other","","109","146","de","A1","A2","","A2","A1","A3","278.85","83.17","187.82","7.86","True"
"Wie ist  Wohnsituation wenn man hier studieren möchte ","What is the living situation like if one wants to study here?","prospective","","112","147","de","A1","A1","","A2","A2","A1","374.51","103.69","254.58","16.24","True"
"Wie lange geht das Lehramtstudium","How long does the teacher training study last?","other","","114","148","de","A1","A2","","A2","A1","A3","269.69","53.81","192.19","23.69","True"
"Wann ist Bewerbungsschluss?","When is the application deadline?","enrolled","Soziologie","115","149","de","A3","A2","","A5","A4","A4","231.12","45.58","178.93","6.61","True"
"wie teuer ist studieren?","how expensive is studying?","other","","117","150","de","A1","A1","","A2","A1","A3","172.49","56.36","110.6","5.53","True"
"Welche anderen Studiengaenge gibt es mit einem Informatik Schwerpunkt?","What other courses of study are there with a focus on computer science?","enrolled","Cognitive Science","118","151","de","A2","A2","","A4","A4","A2","493.27","35.0","423.33","34.94","True"
"Welche Fächer kann man studieren?","What subjects can one study?","prospective","","119","152","de","A1","A1","","A2","A2","A3","180.71","41.57","133.58","5.56","True"
"Können Sie Details zu Stipendien oder Finanzhilfemöglichkeiten für internationale Studierende bereitstellen?","Can you provide details about scholarships or financial aid options available for international students?","international","Cognitive science","120","153","en","A2","A1","","A4","A5","A3","278.49","64.85","181.97","31.67","True"
"Wie lasse ich mich exmatrikulieren?","How do I deregister myself?","enrolled","Cognitive Science","16","154","de","A2","A1","","A4","A4","A1","296.44","41.96","235.25","19.23","True"
"Wie ähnlich ist die Kognitionswissenschaft zur Psychologie und Biologie?","How similar is cognitive science to psychology and biology?","enrolled","Cognitive Science","17","155","en","A2","A2","","A4","A4","A2","415.44","38.97","356.76","19.71","True"
"Wo gibt es Werkstätten welche ich nutzen kann? Z.b. Holz oder Drucker","Where are there workshops that I can use? For example, wood or printer.","enrolled","Bachelor of Science Cognitive Science","18","156","de","A2","A1","","A4","A4","A2","539.12","66.19","456.09","16.84","True"
"Wie bewerbe ich mich für den Master Cognitive Science?","How do I apply for the Master's in Cognitive Science?","enrolled","Cognitive Science","19","157","de","A3","A2","","A5","A4","A1","419.18","34.73","379.1","5.35","True"
"Wann sind zwischen 2025 und 2027 vorlesungsfreie Zeiten?","When are the lecture-free times between 2025 and 2027?","enrolled","Cognitive Science","20","158","de","A2","A2","","A4","A4","A2","443.46","49.35","347.8","46.31","True"
"Wie lautet die Adresse für das Gebäude 15?","What is the address for building 15?","enrolled","Cognitive Science","21","159","de","A2","A2","","A5","A4","A3","848.8","55.92","751.32","41.56","True"
"Ich habe an das Impressum eine Mail geschickt, kriege aber keine Antwort. Gibt es noch weitere Kontaktmöglichkeiten.","I sent an email to the imprint, but I'm not getting a response. Are there any other ways to contact?","enrolled","Cognitive Science","22","160","de","A3","A1","","A3","A4","A1","395.81","36.07","347.91","11.83","True"
"Bekomme ich als Semesterticket ein Deutschlandticket gestellt?","Do I get a Germany ticket as a semester ticket?","enrolled","Cognitive Science","23","161","de","A2","A2","","A4","A4","A2","496.45","76.49","396.08","23.88","True"
"Welche Institute sind am Standort Westerberg?","Which institutes are located at Westerberg?","international","Bachelor of Science, Cognitive Science","24","162","de","A2","A2","","A4","A5","A1","531.26","48.45","447.18","35.63","True"
"Wenn mein Pflicht-Auslandsaufenthalt z.B. im Dezember aufhört (weil ich in einem Land mit anderen Semesterzeiten bin oder weil mein Praktikum nur bis Dezember geht), dürfte ich dann theoretisch noch im restlichen Wintersemester der Uni Osnabrück (welches bis März geht) an Kursen teilnehmen und sogar eine Klausur in diesen Kursen schreiben?","If my mandatory stay abroad, for example, ends in December (because I am in a country with different semester times or because my internship only goes until December), would I then theoretically still be able to participate in courses for the remainder of the winter semester at the University of Osnabrück (which goes until March) and even write an exam in these courses?","enrolled","Bachelor of Science, Cognitive Science","26","163","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08","True"
"Wann bekomme ich eine Antwort ob ich das Niedersachenstipendium bekomme?","When will I get a response about whether I will receive the Lower Saxony scholarship?","enrolled","Cognitive Science","27","164","de","A2","A1","","A4","A4","A1","438.64","64.2","357.17","17.27","True"
"Was ist der Hauptunterschied zwischen PO 2019 und 2024 für den Cognitive Science Bachelor Studiengang? ","What is the main difference between PO 2019 and 2024 for the Cognitive Science Bachelor's degree program?","enrolled","Cognitive Science","28","165","de","A3","A1","","A2","A4","A2","770.65","396.13","364.82","9.7","True"
"Wenn ich ein Projekt mit einem Professor starten möchte, was mache ich dann? Spreche ich den Professor direkt an oder gibt es jemanden anderen, den ich besser kontaktieren sollte?","If I want to start a project with a professor, what do I do? Do I adress the professor directly or is there anyone else better to contact? ","enrolled","Cognitive Science","29","166","en","A2","A2","","A4","A4","A1","886.18","99.94","636.79","149.45","True"
"Sollte ich mich um Bafög oder ein Stipendium kümmern und wenn ja, wie genau gehe ich vor?
","Should I worry about Bafög or a scholarship and if so, how exactly do I proceed?","enrolled","Cognitive Science B.Sc.","31","167","de","A2","A2","","A4","A4","A3","485.73","47.36","423.78","14.59","True"
"Welche Studiengänge sind am meisten vertreten?","Which courses of study are most represented?","enrolled","Cognitive Science","35","168","de","A2","A1","","A4","A4","A2","972.32","141.77","803.98","26.57","True"
"Wo finde ich die Mensa am Westerberg?","Where can I find the cafeteria at Westerberg?","enrolled","Psychologie","36","169","de","A2","A2","","A5","A4","A2","1634.31","27.81","1526.32","80.18","True"
"Gibt es finanzielle Unterstützung oder Stipendienprogramme für Studierende, und wie kann ich mich dafür bewerben?","Are there financial aid or scholarship programs for students, and how can I apply for them?","other",".","37","170","de","A8","A3","","A10","A8","A6","651.14","419.28","194.43","37.43","True"
"Wo finde ich die Prüfungsordnungen und Modulbeschreibungen für mein Studienfach?","Where can I find the examination regulations and module descriptions for my field of study?","enrolled","Lehramt für berufsbildende Schulen","39","171","de","A3","A1","","A5","A4","A2","310.06","54.0","244.02","12.04","True"
"Wie hoch ist der Semesterbeitrag und wann ist dieser fällig?","How much is the semester fee and when is it due?","enrolled","","42","172","de","A2","A2","","A4","A4","A5","392.59","42.69","339.2","10.7","True"
"Wo finde ich die Klausur- und Prüfungstermine für FB 10? ","Where can I find the exam and test dates for FB 10?","enrolled","Wirtschaftsrecht","43","173","de","A2","A2","","A4","A4","A3","343.07","45.47","292.08","5.52","True"
"Wie lasse ich mir die Teilnahme an Veranstaltungen anrechnen, die nicht Teil meines Studiengangs sind?","How do I get credit for participating in events that are not part of my course of study?","enrolled","Wirtschaftsrecht","46","174","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45","True"
"Welche Angebote vom Sprachenzentrum gibt es?","What offers are there from the language center?","enrolled","","47","175","de","A3","-oth-","Nichtbinär","A5","A4","A3","392.53","39.66","344.84","8.03","True"
"Gibt es an der Universität eine Professor:in, die zu 'predictive policing' forscht?","Is there a professor at the university who is researching 'predictive policing'?","other","","49","176","de","A3","A2","","A6","A7","A2","531.24","61.25","464.91","5.08","True"
"Wie lege ich Geld auf meine Campus-Karte?","How do I put money in my campus card","enrolled","Cognitive Science","50","177","en","A3","A2","","A4","A4","A2","236.81","29.64","192.72","14.45","True"
"Warum gibt es das Niedersachsenmenü nicht mehr?","Why is the Lower Saxony menu no longer available?","enrolled","Master Lehramt an Gymnasien","51","178","de","A3","A2","","A5","A4","A3","440.72","70.19","358.17","12.36","True"
"Gibt es Praktikumsmöglichkeiten, die von der Universität unterstützt werden?","Are there internship opportunities supported by the University?","enrolled","Cognitive Science","52","179","en","A3","A2","","A5","A4","A1","411.74","52.45","296.34","62.95","True"
"Welche Studentenorganisationen oder Clubs stehen internationalen Studenten offen?","What student organizations or clubs are open to international students?","international","Cognitive Science","53","180","en","A3","A2","","A6","A5","A1","534.43","81.53","387.84","65.06","True"
"Wie teurer ist es in einem Studentenwohnheim zu wohnen?","How expensive is it to live in a student dormitory?","enrolled","Cognitive Science","54","181","de","A2","A2","","A4","A4","A2","420.47","58.39","343.54","18.54","True"
"Wo kann ich die Prüfungsordnung für Cognitive Science finden?","Where can I find the examination regulations for Cognitive Science?","enrolled","Cognitive Science, B.Sc.","57","183","de","A2","A2","","A4","A4","A1","354.19","40.38","241.74","72.07","True"
"Unterstützt sie finanziell ","Supports her financially","other","","71","184","de","A2","A2","","A4","A1","A2","250.56","64.16","177.46","8.94","True"
"Wie ist die Anbindung zu den Öffentlichenverkehrsmitteln? ","What is the connection to public transportation like?","prospective","","72","185","de","A1","A2","","A4","A2","A4","743.18","413.85","310.76","18.57","True"
"Welche Events gibt es in der nächsten Zeit?","What events are coming up soon?","enrolled","Rechtswissenschaften","77","186","de","A2","A2","","A4","A4","A2","565.25","84.76","461.16","19.33","True"
"Wo kann ich zusätzliche Ressourcen für meine Kurse finden?","Where can I find additional resources for my courses?","international","Cognitive Science","83","187","en","A2","A2","","A4","A5","A4","483.54","71.2","349.62","62.72","True"
"Kann man Vorlesungen der Universität Osnabrück einfach besuchen? ","Can one simply attend lectures at the University of Osnabrück?","prospective","","85","188","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52","True"
"Wie kann man sich für einen Studiengang bewerben","How can one apply for a degree program?","prospective","","86","189","de","A1","A2","","A4","A2","A3","460.74","57.33","389.96","13.45","True"
"Wie teuer ist das Studium an der Uni Osnabrück, und gibt es irgendwelche Gebühren?","How expensive is studying at the University of Osnabrück, and are there any fees?","prospective","","88","190","de","A1","A2","","A2","A2","A2","414.7","135.11","264.4","15.19","True"
"Ist die Universität auf etwas spezialisiert?



","Is the university specialized in something?","other","","93","192","de","A1","A2","","A2","A1","A2","641.42","187.82","435.48","18.12","True"
"Braucht man einen NC für den Studiengang Germanistik auf Lehramt ","Do you need a NC for the German Studies teaching degree program?","prospective","","99","194","de","A2","A2","","A2","A2","A3","1202.31","154.2","1036.36","11.75","True"
"Wie hoch ist der Semesterbeitrag in diesem Semester?","What is the semester fee for this semester?","enrolled","Biologie","102","195","de","A2","A2","","A4","A4","A2","506.07","60.73","432.18","13.16","True"
"Was sind die Semesterdaten?","What are the semester dates?","international","Cognitive science","103","196","en","A3","A2","","A5","A5","A2","237.7","31.74","200.95","5.01","True"
"Wo kann mna sihc bei der Uni anmelden?","Where can one register at the university?","other","","109","197","de","A1","A2","","A2","A1","A3","278.85","83.17","187.82","7.86","True"
"Was für einen Abschluss brauche ich für einen bestimmten Studiengang","What kind of degree do I need for a specific course of study?","prospective","","112","198","de","A1","A1","","A2","A2","A1","374.51","103.69","254.58","16.24","True"
"Wie viele Vorlesungen finden pro Woche statt","How many lectures take place per week?","other","","114","199","de","A1","A2","","A2","A1","A3","269.69","53.81","192.19","23.69","True"
"Was kann man beruflich mit diesem Abschluss machen?","What can one do professionally with this degree?","enrolled","Soziologie","115","200","de","A3","A2","","A5","A4","A4","231.12","45.58","178.93","6.61","True"
"an welchen tagen ist der Unterricht?","On which days is the class?","other","","117","201","de","A1","A1","","A2","A1","A3","172.49","56.36","110.6","5.53","True"
"Welche Bedingungen muss ich erfuellen um mich fuer einen bestimmten Studiengang zu bewerben?","What conditions do I need to meet to apply for a specific course of study?","enrolled","Cognitive Science","118","202","de","A2","A2","","A4","A4","A2","493.27","35.0","423.33","34.94","True"
"Wie teuer ist ein Studium?","How expensive is a degree?","prospective","","119","203","de","A1","A1","","A2","A2","A3","180.71","41.57","133.58","5.56","True"
"Welche Wohnmöglichkeiten werden für Studenten bereitgestellt und wie kann ich mich für eine Unterkunft auf dem Campus bewerben?","What housing options are provided for students, and how can I apply for oncampus accommodation?","international","Cognitive science","120","204","en","A2","A1","","A4","A5","A3","278.49","64.85","181.97","31.67","True"
"Wo arbeiten Absolventen der Kognitionswissenschaften von der Universität Osnabrück?","Where do cognitive science alumnis from Osnabrück University end up working?","enrolled","Cognitive Science","17","206","en","A2","A2","","A4","A4","A2","415.44","38.97","356.76","19.71","True"
"Aud welchem System läuft dieser Chatbot?","Which system does this chatbot run on?","enrolled","Bachelor of Science Cognitive Science","18","207","de","A2","A1","","A4","A4","A2","539.12","66.19","456.09","16.84","True"
"Was gibt es Neues?","What's new?","enrolled","Cognitive Science","19","208","de","A3","A2","","A5","A4","A1","419.18","34.73","379.1","5.35","True"
"Welche Masterstudiengänge in Osnabrück kann ich mit einem Bachelor in Cognitive Science studieren?","Which master's programs in Osnabrück can I study with a bachelor's degree in Cognitive Science?","enrolled","Cognitive Science","20","209","de","A2","A2","","A4","A4","A2","443.46","49.35","347.8","46.31","True"
"Wann sind die Bewerbungsfristen für das Sommersemester 2025?","When are the application deadlines for the summer semester 2025?","enrolled","Cognitive Science","21","210","de","A2","A2","","A5","A4","A3","848.8","55.92","751.32","41.56","True"
"Gibt es gerade Stellenausschreiben an der Uni?","Are there currently job postings at the university?","enrolled","Cognitive Science","22","211","de","A3","A1","","A3","A4","A1","395.81","36.07","347.91","11.83","True"
"Wo ist das Gebäude 69?","Where is building 69?","enrolled","Cognitive Science","23","212","de","A2","A2","","A4","A4","A2","496.45","76.49","396.08","23.88","True"
"Bietet die Uni Osnabrück Musik und Sportclubs an?","Does the University of Osnabrück offer music and sports clubs?","international","Bachelor of Science, Cognitive Science","24","213","de","A2","A2","","A4","A5","A1","531.26","48.45","447.18","35.63","True"
"Welche Beruf-Optionen kann man mit einem abgeschlossenen Bachelor in Cognitive Science erwarten? ","What career options can one expect with a completed Bachelor's degree in Cognitive Science?","enrolled","Bachelor of Science, Cognitive Science","26","214","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08","True"
"Gibt es gerade offene Arbeitsplaetze an der Uni die mit programmieren und oder AI zu tun haben, fuer die ich mich bewerben koennte?","Are there currently open job positions at the university related to programming and/or AI that I could apply for?","enrolled","Cognitive Science","27","215","de","A2","A1","","A4","A4","A1","438.64","64.2","357.17","17.27","True"
"Wie kann ich mich für eine Hilfskraftstelle an der Uni Bewerben? ","How can I apply for a student assistant position at the university?","enrolled","Cognitive Science","28","216","de","A3","A1","","A2","A4","A2","770.65","396.13","364.82","9.7","True"
"Ich hatte ein Problem, dass ich eine Zwischenprüfung nicht besuchen kann, da ich nicht in Osnabrück bin. An wen kann ich mich in dieser Angelegenheit wenden? Ich hoffe, es gibt eine Wiederholungsprüfung, aber ich bin mir nicht sicher, wo ich nachsehen soll.","I faced an issue that I cannot attend a midterm exam as I am not in Osnabrück. Who can I contact for that matter? I am hoping there will be a retake, but I’m not sure where to check.","enrolled","Cognitive Science","29","217","en","A2","A2","","A4","A4","A1","886.18","99.94","636.79","149.45","True"
"Wie komme ich am besten mit dem ÖPNV zur Uni hin?","What's the best way to get to the university using public transportation?","enrolled","Cognitive Science B.Sc.","31","218","de","A2","A2","","A4","A4","A3","485.73","47.36","423.78","14.59","True"
"Wann sind die Vorlesungszeiten bzw. wann sind Semesterferien?","When are the lecture times or when are the semester breaks?","enrolled","Cognitive Science","35","219","de","A2","A1","","A4","A4","A2","972.32","141.77","803.98","26.57","True"
"Was brauche ich für einen NC um Psychologie studieren zu können?","What do I need for a NC to be able to study psychology?","enrolled","Psychologie","36","220","de","A2","A2","","A5","A4","A2","1634.31","27.81","1526.32","80.18","True"
"Welche Bibliotheksdienste stehen Studierenden zur Verfügung, und wie kann ich ein Buch ausleihen oder einen Arbeitsplatz reservieren?","What library services are available to students, and how can I borrow a book or reserve a workspace?","other",".","37","221","de","A8","A3","","A10","A8","A6","651.14","419.28","194.43","37.43","True"
"Wo kann ich die Semesterzeitpläne einsehen? Vorlesungsbeginn etc.","Where can I view the semester schedules? Start of lectures etc.","enrolled","Lehramt für berufsbildende Schulen","39","222","de","A3","A1","","A5","A4","A2","310.06","54.0","244.02","12.04","True"
"Gibt es demnächst Veranstaltungen von der Uni?","Are there any upcoming events from the university?","enrolled","","42","223","de","A2","A2","","A4","A4","A5","392.59","42.69","339.2","10.7","True"
"Welche Bachelor-Studiengänge bietet die Uni Osnabrück an?","What bachelor's degree programs does the University of Osnabrück offer?","enrolled","Wirtschaftsrecht","43","224","de","A2","A2","","A4","A4","A3","343.07","45.47","292.08","5.52","True"
"Wer kann mir bei Problemen außerhalb der Hochschule helfen (Rechtshilfe/Psychologischer Dienst)?","Who can help me with problems outside of university (legal aid/psychological service)?","enrolled","Wirtschaftsrecht","46","225","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45","True"
"Wie unterstützt die Universität Studierende, die von außerhalb Osnabrücks reinpendeln müssen?","How does the university support students who have to commute from outside Osnabrück?","enrolled","","47","226","de","A3","-oth-","Nichtbinär","A5","A4","A3","392.53","39.66","344.84","8.03","True"
"Wann kann ich mich für das Frühstarter-Sportprogramm anmelden? ","When can I register for the Early Starter sports program?","other","","49","227","de","A3","A2","","A6","A7","A2","531.24","61.25","464.91","5.08","True"
"Findet diese Woche irgendeine Veranstaltung statt?","Is there any event happening this week?","enrolled","Cognitive Science","50","228","en","A3","A2","","A4","A4","A2","236.81","29.64","192.72","14.45","True"
"Warum sollte ich an der Universität Osnabrück studieren?","Why should I study at the University of Osnabrück?","enrolled","Master Lehramt an Gymnasien","51","229","de","A3","A2","","A5","A4","A3","440.72","70.19","358.17","12.36","True"
"Welche Berufsmöglichkeiten habe ich nach Abschluss meines Programms?","What are the job opportunities after finishing my program?","enrolled","Cognitive Science","52","230","en","A3","A2","","A5","A4","A1","411.74","52.45","296.34","62.95","True"
"Gibt es auf dem Campus Teilzeitjob-Möglichkeiten für internationale Studierende?","Are there part-time job opportunities on campus for international students?","international","Cognitive Science","53","231","en","A3","A2","","A6","A5","A1","534.43","81.53","387.84","65.06","True"
"Welche Bachelor Abschlüsse qualifizieren mich für einen Master in Cognitive Science?","Which Bachelor's degrees qualify me for a Master's in Cognitive Science?","enrolled","Cognitive Science","54","232","de","A2","A2","","A4","A4","A2","420.47","58.39","343.54","18.54","True"
"Wo kann ich die Modulordnung für den Cognitive Science Bachelor finden?","Where can I find the module regulations for the Cognitive Science Bachelor's degree?","enrolled","Cognitive Science, B.Sc.","57","234","de","A2","A2","","A4","A4","A1","354.19","40.38","241.74","72.07","True"
"Wie viele unterschiedliche Studiengänge werden hier unterrichtet? ","How many different courses of study are taught here?","prospective","","72","236","de","A1","A2","","A4","A2","A4","743.18","413.85","310.76","18.57","True"
"Wann sind Semesterferien?","When is the semester break?","enrolled","Rechtswissenschaften","77","237","de","A2","A2","","A4","A4","A2","565.25","84.76","461.16","19.33","True"
"Wie kann ich mich für Sport anmelden?","How can I sign up for sports?","international","Cognitive Science","83","238","en","A2","A2","","A4","A5","A4","483.54","71.2","349.62","62.72","True"
"Kann man während des Studiums in einem Forschungsinstitut arbeiten? ","Can one work at a research institute while studying?","prospective","","85","239","de","A1","A2","","A4","A2","A5","658.58","153.64","496.42","8.52","True"
"Was sind die Inhalte dieses Studiengangs","What are the contents of this course of study?","prospective","","86","240","de","A1","A2","","A4","A2","A3","460.74","57.33","389.96","13.45","True"
"Kann man dort auch ein Auslandssemester machen, und wie funktioniert das?","Can you also do a semester abroad there, and how does that work?","prospective","","88","241","de","A1","A2","","A2","A2","A2","414.7","135.11","264.4","15.19","True"
"Wo ist die nächste Toilette?","Where is the nearest toilet?","other","","92","242","de","A1","A2","","A2","A1","A2","303.55","63.41","232.83","7.31","True"
"Wofür ist die Universität bekannt?","What is the university known for?","other","","93","243","de","A1","A2","","A2","A1","A2","641.42","187.82","435.48","18.12","True"
"Wie weit ist die Uni von der Innenstadt entfernt?","How far is the university from downtown?","prospective","","99","245","de","A2","A2","","A2","A2","A3","1202.31","154.2","1036.36","11.75","True"
"Für wie viele Studiengänge kann ich gleichzeitig Bewerbungsunterlagen einreichen?","How many courses can I submit application documents for at the same time?","enrolled","Biologie","102","246","de","A2","A2","","A4","A4","A2","506.07","60.73","432.18","13.16","True"
"Wie hoch sind die Universitätsgebühren?","How much are the University fees?","international","Cognitive science","103","247","en","A3","A2","","A5","A5","A2","237.7","31.74","200.95","5.01","True"
"wie viele Leute besuchen die Uni?","How many people visit the university?","other","","109","248","de","A1","A2","","A2","A1","A3","278.85","83.17","187.82","7.86","True"
"Wie viel verdiene ich später voraussichtlich ","How much will I likely earn later?","prospective","","112","249","de","A1","A1","","A2","A2","A1","374.51","103.69","254.58","16.24","True"
"Gibt es einen Raumplan?","Is there a room plan?","other","","114","250","de","A1","A2","","A2","A1","A3","269.69","53.81","192.19","23.69","True"
"Gibt es an dieser Uni Möglichkeiten, ein weiterführendes Studium anzuschließen?","Are there opportunities at this university to pursue further studies?","enrolled","Soziologie","115","251","de","A3","A2","","A5","A4","A4","231.12","45.58","178.93","6.61","True"
"welche Abschlüsse kann man im Studium anstreben? Bachelor Master usw,","What degrees can one pursue in studies? Bachelor, Master, etc.","other","","117","252","de","A1","A1","","A2","A1","A3","172.49","56.36","110.6","5.53","True"
"Wie viele Studierende gibt es an der Uni?","How many students are there at the university?","enrolled","Cognitive Science","118","253","de","A2","A2","","A4","A4","A2","493.27","35.0","423.33","34.94","True"
"Welche Vorkenntnisse brauch ich für ein Studium?","What prior knowledge do I need for a study?","prospective","","119","254","de","A1","A1","","A2","A2","A3","180.71","41.57","133.58","5.56","True"
"Gibt es irgendwelche Aktivitäten von Studentenorganisationen, denen ich beitreten kann, um meine Universitätserfahrung zu verbessern?","Are there any student organizations activities I can join to enhance my university experience?

","international","Cognitive science","120","255","en","A2","A1","","A4","A5","A3","278.49","64.85","181.97","31.67","True"
"Welche Forschungslabore kann ich als Student der Kognitionswissenschaft an der Universität Osnabrück beitreten?","What are some research labs that I can join as a cognitive science student in Osnabrück University?","enrolled","Cognitive Science","17","257","en","A2","A2","","A4","A4","A2","415.44","38.97","356.76","19.71","True"
"Wo finde ich Services für Studis? z.b. Wohnungssuche","Where can I find services for students? e.g. apartment search","enrolled","Bachelor of Science Cognitive Science","18","258","de","A2","A1","","A4","A4","A2","539.12","66.19","456.09","16.84","True"
"Wo kann ich das Gebäude 66 finden?","Where can I find building 66?","enrolled","Cognitive Science","20","260","de","A2","A2","","A4","A4","A2","443.46","49.35","347.8","46.31","True"
"Welche Sprachnachweise werden bei meiner Bewerbung anerkannt?","Which language certificates are recognized in my application?","enrolled","Cognitive Science","21","261","de","A2","A2","","A5","A4","A3","848.8","55.92","751.32","41.56","True"
"Was ist das Lernzentrum","What is the learning center","enrolled","Cognitive Science","22","262","de","A3","A1","","A3","A4","A1","395.81","36.07","347.91","11.83","True"
"Welche Vorraussetzungen muss ich für ein Studium in Sportwissenschaften erfüllen?","What prerequisites must I meet for a degree in sports science?","enrolled","Cognitive Science","23","263","de","A2","A2","","A4","A4","A2","496.45","76.49","396.08","23.88","True"
"Welche Kurse oder Veranstaltungen finden in dem Schlussgebäude am Innenstadt Campus statt?","Which courses or events are taking place in the final building on the downtown campus?","international","Bachelor of Science, Cognitive Science","24","264","de","A2","A2","","A4","A5","A1","531.26","48.45","447.18","35.63","True"
"Kann man mit einem abgeschlossenen Bachelor in Cognitive Science bereits anfangen sinnvoll zu arbeiten (d.h. in einem Sektor bzw. Unternehmen welches sich solch einen Abschluss wünscht und wo man das Wissen aus diesem tatsächlich anwenden kann), oder muss man erst einen Master machen in dem man sich auf irgendeinen Bereich spezialisiert? ","Can one start meaningful work with a completed Bachelor's degree in Cognitive Science (i.e., in a sector or company that desires such a degree and where one can actually apply the knowledge from it), or does one first need to earn a Master's degree in which one specializes in a certain area?","enrolled","Bachelor of Science, Cognitive Science","26","265","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08","True"
"Woher bekomme ich ein Englisch Sprachzertifikat fuer mein Auslandssemster?","Where can I get an English language certificate for my semester abroad?","enrolled","Cognitive Science","27","266","de","A2","A1","","A4","A4","A1","438.64","64.2","357.17","17.27","True"
"Ist ein Auslandssemester erforderlich für internationale Studenten im Bachelor Studiengang Cognitive science? ","Is a semester abroad required for international students in the Bachelor's program in Cognitive Science?","enrolled","Cognitive Science","28","267","de","A3","A1","","A2","A4","A2","770.65","396.13","364.82","9.7","True"
"Wie frage ich am besten nach einem Empfehlungsschreiben? Gibt es eine Vorlage von der Universität, was darin geschrieben werden soll?","How do I best ask for a letter of recommendation? Is there a template from the university as to what is expected to be written in it? ","enrolled","Cognitive Science","29","268","en","A2","A2","","A4","A4","A1","886.18","99.94","636.79","149.45","True"
"Wie viele Stunden in der Woche werde ich ungefähr mit diesem Studiengang beschäftigt sein?","How many hours per week will I approximately be occupied with this course of study?","enrolled","Cognitive Science B.Sc.","31","269","de","A2","A2","","A4","A4","A3","485.73","47.36","423.78","14.59","True"
"Was gibt es für Initiativen/Aktivitäten für Studierende?","What initiatives/activities are there for students?","enrolled","Cognitive Science","35","270","de","A2","A1","","A4","A4","A2","972.32","141.77","803.98","26.57","True"
"Wie viele Studierende gibt es in OS?","How many students are there in OS?","enrolled","Psychologie","36","271","de","A2","A2","","A5","A4","A2","1634.31","27.81","1526.32","80.18","True"
"Wann finden die Orientierungswochen für Erstsemester statt, und wie melde ich mich dafür an?","When do the orientation weeks for first semester students take place, and how do I register for them?","other",".","37","272","de","A8","A3","","A10","A8","A6","651.14","419.28","194.43","37.43","True"
"Wie lauten die Bewerbungsfristen für meine Studienfach?","What are the application deadlines for my field of study?","enrolled","Lehramt für berufsbildende Schulen","39","273","de","A3","A1","","A5","A4","A2","310.06","54.0","244.02","12.04","True"
"Wo finde ich Informationen zur Einführungswoche?","Where can I find information about the orientation week?","enrolled","","42","274","de","A2","A2","","A4","A4","A5","392.59","42.69","339.2","10.7","True"
"Welche Master-Studiengänge bietet die Uni Osnabrück an?","What master's programs does the University of Osnabrück offer?","enrolled","Wirtschaftsrecht","43","275","de","A2","A2","","A4","A4","A3","343.07","45.47","292.08","5.52","True"
"Wie kann ich mich engagieren und tatsächlich etwas bewirken?","How can I get involved and actually make a difference?","enrolled","Wirtschaftsrecht","46","276","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45","True"
"Warum sind die Anbindungen an den Campus Westerberg so schlecht?","Why are the connections to the Westerberg campus so bad?","enrolled","","47","277","de","A3","-oth-","Nichtbinär","A5","A4","A3","392.53","39.66","344.84","8.03","True"
"Welche Veranstaltungen für Promovierende gibt es?","What events are there for doctoral students?","other","","49","278","de","A3","A2","","A6","A7","A2","531.24","61.25","464.91","5.08","True"
"Wer ist der Präsident der Uni?","Who is the president of the uni?","enrolled","Cognitive Science","50","279","en","A3","A2","","A4","A4","A2","236.81","29.64","192.72","14.45","True"
"An wen wende ich mich mit einer coolen Idee aus meinem Kunststudium, das für alle Erstsemester interessant sein könnte?","Who do I turn to with a cool idea from my art studies that could be interesting for all first-year students?","enrolled","Master Lehramt an Gymnasien","51","280","de","A3","A2","","A5","A4","A3","440.72","70.19","358.17","12.36","True"
"Wie kann ich mein VISA erneuern?","How can I renew my VISA?","enrolled","Cognitive Science","52","281","en","A3","A2","","A5","A4","A1","411.74","52.45","296.34","62.95","True"
"Wie kann ich mit Absolventen meines Programms oder anderen internationalen Studenten an der Universität in Verbindung treten?","How can I connect with alumni from my program or other international students at the university?","international","Cognitive Science","53","282","en","A3","A2","","A6","A5","A1","534.43","81.53","387.84","65.06","True"
"Wann sind die Semester Ferien?","When are the semester holidays?","enrolled","Cognitive Science","54","283","de","A2","A2","","A4","A4","A2","420.47","58.39","343.54","18.54","True"
"Wann ist das Examination Office geöffnet?","When is the Examination Office open?","enrolled","Cognitive Science","56","284","de","A3","A1","","A4","A4","A2","1054.06","45.21","962.92","45.93","True"
